cest_code,cest_item,cest_name,cest_segment
01.001.00,1.0,Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores,Autopeças
01.002.00,2.0,"Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos",Autopeças
01.003.00,3.0,Protetores de caçamba,Autopeças
01.004.00,4.0,Reservatórios de óleo,Autopeças
01.005.00,5.0,"Frisos, decalques, molduras e acabamentos",Autopeças
01.006.00,6.0,"Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias",Autopeças
01.007.00,7.0,"Juntas, gaxetas e outros elementos com função semelhante de vedação",Autopeças
01.008.00,8.0,"Partes de veículos automóveis, tratores e máquinas autopropulsadas",Autopeças
01.009.00,9.0,"Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins",Autopeças
01.010.00,10.0,"Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico",Autopeças
01.011.00,11.0,"Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias",Autopeças
01.012.00,12.0,Encerados e toldos,Autopeças
01.013.00,13.0,"Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores",Autopeças
01.014.00,14.0,"Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias",Autopeças
01.015.00,15.0,Vidros de dimensões e formatos que permitam aplicação automotiva,Autopeças
01.016.00,16.0,Espelhos retrovisores,Autopeças
01.017.00,17.0,"Lentes de faróis, lanternas e outros utensílios",Autopeças
01.018.00,18.0,Cilindro de aço para GNV (gás natural veicular),Autopeças
01.019.00,19.0,"Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0",Autopeças
01.020.00,20.0,"Molas e folhas de molas, de ferro ou aço",Autopeças
01.021.00,21.0,"Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00",Autopeças
01.022.00,22.0,Peso de chumbo para balanceamento de roda,Autopeças
01.023.00,23.0,Peso para balanceamento de roda e outros utensílios de estanho,Autopeças
01.024.00,24.0,Fechaduras e partes de fechaduras,Autopeças
01.025.00,25.0,Chaves apresentadas isoladamente,Autopeças
01.026.00,26.0,"Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns",Autopeças
01.027.00,27.0,Triângulo de segurança,Autopeças
01.028.00,28.0,Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87,Autopeças
01.029.00,29.0,Motores dos tipos utilizados para propulsão de veículos automotores,Autopeças
01.030.00,30.0,Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408,Autopeças
01.031.00,31.0,Motores hidráulicos,Autopeças
01.032.00,32.0,"Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão",Autopeças
01.033.00,33.0,Bombas de vácuo,Autopeças
01.034.00,34.0,Compressores e turbocompressores de ar,Autopeças
01.035.00,35.0,"Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00",Autopeças
01.036.00,36.0,Máquinas e aparelhos de ar condicionado,Autopeças
01.037.00,37.0,Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão,Autopeças
01.038.00,38.0,Filtros a vácuo,Autopeças
01.039.00,39.0,Partes dos aparelhos para filtrar ou depurar líquidos ou gases,Autopeças
01.040.00,40.0,"Extintores, mesmo carregados",Autopeças
01.041.00,41.0,Filtros de entrada de ar para motores de ignição por centelha ou por compressão,Autopeças
01.042.00,42.0,Depuradores por conversão catalítica de gases de escape,Autopeças
01.043.00,43.0,Macacos,Autopeças
01.044.00,44.0,Partes para macacos do CEST 01.043.00,Autopeças
01.045.00,45.0,Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias,Autopeças
01.045.01,45.1,Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias,Autopeças
01.046.00,46.0,Válvulas redutoras de pressão,Autopeças
01.047.00,47.0,Válvulas para transmissão óleo-hidráulicas ou pneumáticas,Autopeças
01.048.00,48.0,Válvulas solenoides,Autopeças
01.049.00,49.0,Rolamentos,Autopeças
01.050.00,50.0,"Árvores de transmissão (incluídas as árvores de “cames” e virabrequins) e manivelas; mancais e “bronzes”; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque; volantes e polias, incluídas as polias para cadernais; embreagens e dispositivos de acoplamento, incluídas as juntas de articulação",Autopeças
01.051.00,51.0,"Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas (selos mecânicos)",Autopeças
01.052.00,52.0,"Acoplamentos, embreagens, variadores de velocidade e freios, eletromagnéticos",Autopeças
01.053.00,53.0,"Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão, exceto os classificados no CEST 01.053.01",Autopeças
01.053.01,53.1,"Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão e de capacidade inferior ou igual a 20 Ah e tensão inferior ou igual a 12 V",Autopeças
01.054.00,54.0,"Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque); geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores",Autopeças
