nbm_code,nbm_name
0000.10.0000,ENCOMENDAS
0000.20.0000,MERCADORIAS PARA FINS DE DIVULGACAO E TESTES EXTERIOR
0000.70.0000,DOACOES
0000.71.0010,"PEDRAS EM BRUTO,DO CAPITULO 71 DA NBM-SH"
0000.71.0020,PEDRAS LAPIDADAS/TRABALHADAS DO CAPITULO 71 DA NBM-SH
0000.71.0030,JOALHERIA DE OURO DO CAPITULO 71 DA NBM-SH
0000.71.0040,DEMAIS ARTIGOS DO CAPITULO 71 DA NBM-SH
0000.80.0100,Consumo de bordo - COMBUSTIVEIS E LUBRIF.P/EMBARCACOES
0000.80.0200,Consumo de bordo - COMBUSTIVEIS E LUBRIF.P/AERONAVES
0000.80.9800,Consumo de bordo - QQ.OUTRA MERCADORIA PARA EMBARCACOES
0000.80.9900,Consumo de bordo - QQ.OUTRA MERCADORIA PARA AERONAVES
0000.90.0000,"OUTRAS EXPORTACOES SEM COBERTURA CAMBIAL,SEM RETORNO"
0101.11.0000,CAVALOS REPRODUTORES DE RACA PURA
0101.19.0100,"CAVALOS,MATRIZ PRENHE OU COM CRIA AO PE"
0101.19.0200,CAVALOS DE CORRIDA
0101.19.9900,OUTROS CAVALOS VIVOS
0101.20.0100,"ASININOS E MUARES,REPRODUTORES DE RACA PURA"
0101.20.9900,"OUTROS ASININOS E MUARES,VIVOS"
0102.10.0100,Bovinos Reprodutores de raça Pura
0102.10.0200,Búfalos Reprodutores de raça Pura
0102.90.0101,"BOVINOS,MATRIZ PRENHE OU COM CRIA AO PE"
0102.90.0102,BOVINOS PARA CORTE (CONSUMO)
0102.90.0199,QUALQUER OUTRO BOVINO VIVO
0102.90.0200,OUTROS BUFALOS VIVOS
0103.10.0000,SUINOS REPRODUTORES DE RACA PURA
0103.91.0000,"OUTROS SUINOS VIVOS,DE PESO<50KG"
0103.92.0000,"OUTROS SUINOS VIVOS,DE PESO>=50KG"
0104.10.0100,OVINOS REPRODUTORES DE RACA PURA
0104.10.0200,"OVINOS,MATRIZ PRENHE OU COM CRIA AO PE"
0104.10.9900,OUTROS OVINOS VIVOS
0104.20.0100,CAPRINOS REPRODUTORES DE RACA PURA
0104.20.9900,OUTROS CAPRINOS VIVOS
0105.11.0000,"GALOS E GALINHAS,VIVOS,DE PESO<=185G"
0105.19.0100,"PERUS E PERUAS,VIVOS,DE PESO<=185G"
0105.19.0200,"PATOS E GANSOS,VIVOS,DE PESO<=185G"
0105.19.9900,"GALINHAS D'ANGOLA (PINTADAS),VIVAS,DE PESO<=185G"
0105.91.0000,"GALOS E GALINHAS,VIVOS,DE PESO>185G"
0105.99.0000,"PATOS,GANSOS,PERUS,PERUAS E PINTADAS,VIVOS,DE PESO>185G"
0106.00.0100,COELHO REPRODUTOR DE RACA PURA
0106.00.0200,"ABELHA RAINHA,VIVA"
0106.00.0300,"ANIMAIS VIVOS,PARA LABORATORIO OU PESQUISA CIENTIFICA"
0106.00.0400,CHINCHILA REPRODUTOR DE RACA PURA
0106.00.9900,OUTROS ANIMAIS VIVOS
0201.10.0000,"CARCACA E MEIA-CARCACA,DE BOVINO,N/DESOSS.FRESCA/REFRIG"
0201.20.0100,"QUARTO DE DIANTEIRO,DE BOVINO,N/DESOSSADO,FRESCO/REFRIG"
0201.20.0200,"QUARTO DE TRASEIRO,DE BOVINO,N/DESOSSADO,FRESCO/REFRIG."
0201.20.0300,"COSTELA DE BOVINO,NAO DESOSSADA,FRESCA OU REFRIGERADA"
0201.20.0400,"BISTECA DE BOVINO,NAO DESOSSADA,FRESCA OU REFRIGERADA"
0201.20.0500,"TIBONE DE BOVINO,NAO DESOSSADO,FRESCO OU REFRIGERADO"
0201.20.9900,"OUTRAS PECAS DE BOVINO,NAO DESOSSADAS,FRESCAS OU REFRIG"
0201.30.0100,"CARCACA/MEIA-CARCACA,DE BOVINO,DESOSSADA,FRESCA/REFRIG."
0201.30.0200,"QUARTO DE DIANTEIRO,DE BOVINO,DESOSSADO,FRESCO/REFRIGER"
0201.30.0300,"QUARTO DE TRASEIRO,DE BOVINO,DESOSSADO,FRESCO OU REFRIG"
0201.30.0401,"CORACAO DE ALCATRA,DE BOVINO,DESOSSADO,FRESCO OU REFRIG"
0201.30.0402,"PICANHA DE ALCATRA,DE BOVINO,DESOSSADA,FRESCA OU REFRIG"
0201.30.0403,"MAMINHA DE ALCATRA,DE BOVINO,DESOSSADA,FRESCA OU REFRIG"
0201.30.0499,"QQ.OUTRA ALCATRA,DE BOVINO,DESOSSADA,FRESCA OU REFRIGER"
0201.30.0500,"CONTRAFILE DE BOVINO,DESOSSADO,FRESCO OU REFRIGERADO"
