product_code,fiscal_name
0,Serviço
1,Animais vivos
2,"Carnes e miudezas, comestíveis"
3,"Peixes e crustáceos, moluscos e os outros invertebrados aquáticos"
4,"Leite e laticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos em outros Capítulos da TIPI"
5,"Outros produtos de origem animal, não especificados nem compreendidos em outros Capítulos da TIPI"
6,Plantas vivas e produtos de floricultura
7,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis"
8,Frutas; cascas de cítricos e de melões
9,"Café, chá, mate e especiarias"
10,Cereais
11,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo
12,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palha e forragem"
13,"Gomas, resinas e outros sucos e extratos vegetais"
14,"Matérias para entrançar e outros produtos de origem vegetal, não especificadas nem compreendidas em outros Capítulos da NCM"
15,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal
16,"Preparações de carne, de peixes ou de crustáceos, de moluscos ou de outros invertebrados aquáticos"
17,Açúcares e produtos de confeitaria
18,Cacau e suas preparações
19,"Preparações à base de cereais, farinhas, amidos, féculas ou de leite; produtos de pastelaria"
20,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas"
21,Preparações alimentícias diversas
22,"Bebidas, líquidos alcoólicos e vinagres"
23,Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais
24,"Fumo (tabaco) e seus sucedâneos, manufaturados"
25,"Sal; enxofre; terras e pedras; gesso, cal e cimento"
26,"Minérios, escórias e cinzas"
27,"Combustíveis minerais, óleos minerais e produtos de sua destilação; matérias betuminosas; ceras minerais"
28,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos"
29,Produtos químicos orgânicos
30,Produtos farmacêuticos
31,Adubos ou fertilizantes
32,"Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes, tintas e vernizes, mástiques; tintas de escrever"
33,Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas
34,"Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas de modelar, ""ceras"" para dentistas e composições para dentista à base de gesso"
